test_num,kSineBeta,kSineAlpha,swc_value,swc_sl_passed,swc_all_passed,swc_diff_swcr,swcr_sl_passed,sin_el_passed,sl_check1_passed,sl_check2_passed
238,-195,468,4030,1,0,1,0,1,0,0,
239,-178,483,1755,0,0,0,0,1,0,0,
240,-178,461,4030,1,1,0,1,1,1,1,
241,-178,477,2015,0,0,0,0,1,0,0,
242,-178,470,4030,1,0,1,0,1,0,0,
243,-461,178,4030,1,1,0,1,1,1,1,
244,-483,178,2925,0,0,0,0,1,0,0,
245,-476,178,3055,0,0,0,0,1,0,0,
246,-469,178,4030,1,0,1,0,1,0,0,
247,-461,194,4030,1,1,0,1,1,1,1,
248,-477,194,2925,0,0,0,0,1,0,0,
249,-472,194,3965,0,0,0,0,1,0,0,
250,-466,194,4030,1,0,1,0,1,0,0,
251,-483,-159,3055,0,0,0,0,0,0,0,
252,-461,-159,4030,1,1,0,1,1,1,1,
253,-469,-159,4030,1,0,1,0,1,0,0,
254,-476,-159,3055,0,0,0,0,1,0,0,
255,-468,-182,4095,0,0,0,0,0,0,0,
256,-461,-182,4030,1,1,0,1,1,1,1,
257,-466,-182,4030,1,0,1,0,0,0,0,
258,-464,-182,4030,1,0,1,1,0,1,1,
